Bratislavsky kraj , Malacky , Jakubov , 1326 , 660 , 659 , 656 , 1331 , 584 , 584 , 578 , 4 , 315 , 0 , 80 , 15 , 80 , 14 , 1 , 5 , 0 , 133 , 4 , 2 , 2 , 1 , 362 , 216
Bratislavsky kraj , Malacky , Kostoliste , 1223 , 687 , 687 , 682 , 1237 , 600 , 600 , 587 , 9 , 326 , 4 , 72 , 23 , 68 , 34 , 0 , 33 , 0 , 108 , 1 , 1 , 1 , 2 , 397 , 190
Bratislavsky kraj , Malacky , Kuchyna , 1444 , 738 , 738 , 731 , 1450 , 624 , 624 , 610 , 2 , 320 , 4 , 125 , 17 , 96 , 16 , 1 , 35 , 0 , 108 , 2 , 1 , 1 , 3 , 380 , 230
Bratislavsky kraj , Malacky , Lab , 1502 , 882 , 882 , 878 , 1498 , 747 , 747 , 731 , 3 , 454 , 3 , 126 , 20 , 83 , 32 , 0 , 36 , 0 , 119 , 0 , 1 , 1 , 0 , 499 , 232
Bratislavsky kraj , Malacky , Lozorno , 2556 , 1275 , 1275 , 1266 , 2550 , 1159 , 1159 , 1137 , 9 , 766 , 10 , 126 , 25 , 88 , 30 , 0 , 54 , 2 , 144 , 2 , 0 , 6 , 4 , 882 , 255
Bratislavsky kraj , Malacky , Malacky , 15201 , 7764 , 7763 , 7724 , 15211 , 6691 , 6687 , 6571 , 85 , 3748 , 28 , 967 , 246 , 717 , 192 , 1 , 237 , 14 , 1410 , 18 , 15 , 29 , 17 , 4244 , 2327
Bratislavsky kraj , Malacky , Male Levare , 1110 , 445 , 445 , 438 , 1122 , 364 , 364 , 360 , 11 , 182 , 1 , 54 , 7 , 51 , 28 , 0 , 6 , 1 , 94 , 0 , 2 , 0 , 1 , 226 , 134
Bratislavsky kraj , Malacky , Marianka , 1635 , 1104 , 1104 , 1104 , 1755 , 1056 , 1056 , 1043 , 6 , 731 , 3 , 100 , 16 , 35 , 16 , 0 , 82 , 0 , 113 , 0 , 1 , 0 , 1 , 835 , 208
Bratislavsky kraj , Malacky , Pernek , 723 , 393 , 393 , 392 , 732 , 323 , 323 , 306 , 5 , 140 , 2 , 56 , 17 , 62 , 14 , 0 , 9 , 1 , 85 , 0 , 0 , 0 , 1 , 178 , 128
Bratislavsky kraj , Malacky , Plavecke Podhradie , 586 , 313 , 313 , 310 , 574 , 298 , 298 , 295 , 4 , 149 , 3 , 37 , 9 , 36 , 13 , 1 , 12 , 0 , 45 , 0 , 0 , 1 , 0 , 205 , 90
Bratislavsky kraj , Malacky , Plavecky Mikulas , 622 , 398 , 398 , 394 , 635 , 319 , 319 , 307 , 3 , 140 , 1 , 61 , 15 , 66 , 10 , 0 , 14 , 1 , 79 , 1 , 1 , 1 , 1 , 165 , 142
Bratislavsky kraj , Malacky , Plavecky Stvrtok , 1979 , 868 , 868 , 864 , 1996 , 803 , 803 , 793 , 6 , 411 , 1 , 109 , 18 , 89 , 25 , 0 , 36 , 1 , 160 , 2 , 2 , 3 , 1 , 496 , 297
Bratislavsky kraj , Malacky , Rohoznik , 2889 , 1357 , 1357 , 1350 , 2882 , 1167 , 1167 , 1128 , 13 , 618 , 5 , 178 , 41 , 193 , 32 , 1 , 44 , 2 , 206 , 2 , 1 , 9 , 5 , 728 , 400
Bratislavsky kraj , Malacky , Solosnica , 1340 , 724 , 724 , 720 , 1372 , 672 , 672 , 660 , 9 , 346 , 2 , 81 , 22 , 60 , 17 , 0 , 21 , 0 , 156 , 0 , 0 , 5 , 1 , 411 , 249
Bratislavsky kraj , Malacky , Studienka , 1438 , 686 , 686 , 685 , 1427 , 588 , 588 , 585 , 3 , 306 , 2 , 80 , 15 , 68 , 16 , 0 , 14 , 2 , 168 , 4 , 0 , 6 , 1 , 339 , 246
Bratislavsky kraj , Malacky , Stupava , 9249 , 5630 , 5626 , 5604 , 9285 , 5156 , 5156 , 5087 , 30 , 3412 , 25 , 561 , 168 , 342 , 117 , 0 , 269 , 9 , 632 , 8 , 5 , 16 , 10 , 3907 , 1180
Bratislavsky kraj , Malacky , Suchohrad , 581 , 293 , 293 , 292 , 594 , 247 , 247 , 245 , 3 , 102 , 5 , 31 , 11 , 38 , 11 , 0 , 7 , 0 , 79 , 2 , 0 , 1 , 2 , 127 , 118
Bratislavsky kraj , Malacky , Velke Levare , 3036 , 1367 , 1367 , 1356 , 3030 , 1134 , 1134 , 1112 , 11 , 603 , 2 , 169 , 32 , 183 , 52 , 0 , 39 , 1 , 245 , 8 , 2 , 5 , 4 , 668 , 444
Bratislavsky kraj , Malacky , Vysoka pri Morave , 1840 , 902 , 902 , 899 , 1829 , 752 , 752 , 743 , 17 , 438 , 3 , 106 , 20 , 72 , 25 , 0 , 20 , 4 , 186 , 2 , 0 , 5 , 1 , 379 , 364
Bratislavsky kraj , Malacky , Zahorie (vojensky obvod) , 140 , 66 , 66 , 65 , 144 , 53 , 53 , 44 , 0 , 21 , 0 , 16 , 2 , 12 , 5 , 0 , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 30 , 14
Bratislavsky kraj , Malacky , Zahorska Ves , 1497 , 560 , 560 , 556 , 1498 , 476 , 476 , 472 , 9 , 229 , 0 , 81 , 13 , 73 , 15 , 0 , 14 , 0 , 113 , 2 , 0 , 6 , 1 , 306 , 166
Bratislavsky kraj , Malacky , Zavod , 2367 , 991 , 991 , 986 , 2353 , 829 , 829 , 822 , 12 , 363 , 7 , 156 , 26 , 128 , 37 , 0 , 29 , 2 , 217 , 1 , 2 , 3 , 3 , 419 , 403
Bratislavsky kraj , Malacky , Zohor , 2700 , 1417 , 1417 , 1413 , 2711 , 1306 , 1306 , 1288 , 20 , 745 , 6 , 132 , 28 , 108 , 38 , 0 , 58 , 3 , 261 , 5 , 3 , 1 , 5 , 879 , 409
Bratislavsky kraj , Pezinok , Bahon , 1532 , 868 , 868 , 864 , 1530 , 765 , 765 , 750 , 7 , 416 , 4 , 96 , 13 , 87 , 14 , 0 , 83 , 0 , 138 , 2 , 0 , 3 , 1 , 491 , 259
Bratislavsky kraj , Pezinok , Budmerice , 1944 , 1066 , 1066 , 1058 , 1944 , 923 , 923 , 905 , 9 , 482 , 2 , 138 , 41 , 119 , 21 , 0 , 78 , 2 , 161 , 1 , 1 , 1 , 2 , 592 , 313
Bratislavsky kraj , Pezinok , Casta , 1908 , 1110 , 1110 , 1106 , 1908 , 926 , 926 , 914 , 2 , 518 , 8 , 154 , 42 , 96 , 40 , 0 , 70 , 3 , 166 , 5 , 0 , 0 , 2 , 606 , 308
Bratislavsky kraj , Pezinok , Dolany , 903 , 622 , 622 , 619 , 889 , 522 , 522 , 506 , 5 , 298 , 1 , 82 , 6 , 83 , 14 , 0 , 32 , 0 , 92 , 1 , 1 , 4 , 0 , 328 , 178
Bratislavsky kraj , Pezinok , Dubova , 927 , 595 , 595 , 591 , 926 , 496 , 496 , 488 , 1 , 246 , 3 , 79 , 25 , 62 , 14 , 0 , 34 , 2 , 117 , 2 , 3 , 2 , 1 , 280 , 208
Bratislavsky kraj , Pezinok , Jablonec , 801 , 458 , 458 , 456 , 797 , 365 , 365 , 358 , 4 , 190 , 1 , 79 , 23 , 56 , 13 , 0 , 29 , 2 , 53 , 1 , 1 , 0 , 4 , 208 , 150
Bratislavsky kraj , Pezinok , Limbach , 1667 , 1140 , 1140 , 1140 , 1643 , 1029 , 1029 , 1022 , 6 , 750 , 1 , 78 , 35 , 50 , 3 , 0 , 51 , 3 , 149 , 7 , 2 , 5 , 0 , 796 , 226
Bratislavsky kraj , Pezinok , Modra , 7805 , 4711 , 4709 , 4695 , 7748 , 4256 , 4253 , 4194 , 30 , 2784 , 21 , 499 , 187 , 264 , 72 , 1 , 134 , 3 , 681 , 7 , 8 , 1 , 3 , 3040 , 1154
Bratislavsky kraj , Pezinok , Pezinok , 19823 , 12520 , 12518 , 12471 , 19812 , 11464 , 11460 , 11308 , 51 , 7918 , 18 , 1274 , 425 , 577 , 193 , 1 , 516 , 6 , 1419 , 19 , 14 , 18 , 22 , 8645 , 2663
Bratislavsky kraj , Pezinok , Pila , 297 , 179 , 179 , 179 , 322 , 190 , 190 , 189 , 0 , 84 , 0 , 18 , 4 , 15 , 14 , 0 , 4 , 0 , 39 , 0 , 0 , 0 , 1 , 139 , 50
Bratislavsky kraj , Pezinok , Slovensky Grob , 3269 , 2101 , 2101 , 2093 , 3271 , 1907 , 1907 , 1886 , 16 , 1203 , 9 , 219 , 65 , 149 , 35 , 0 , 53 , 3 , 328 , 7 , 1 , 1 , 4 , 1319 , 567
Bratislavsky kraj , Pezinok , Svaty Jur , 4707 , 2799 , 2796 , 2779 , 4721 , 2603 , 2600 , 2534 , 19 , 1626 , 8 , 322 , 87 , 154 , 45 , 0 , 153 , 4 , 338 , 10 , 7 , 6 , 0 , 1813 , 721
Bratislavsky kraj , Pezinok , Senkvice , 4112 , 2541 , 2540 , 2530 , 4103 , 2237 , 2237 , 2194 , 16 , 1148 , 14 , 395 , 78 , 208 , 46 , 0 , 109 , 3 , 494 , 6 , 4 , 5 , 4 , 1311 , 883
Bratislavsky kraj , Pezinok , Stefanova , 308 , 179 , 179 , 178 , 306 , 153 , 153 , 152 , 1 , 88 , 3 , 19 , 6 , 18 , 2 , 0 , 8 , 1 , 30 , 1 , 0 , 0 , 1 , 104 , 48
Bratislavsky kraj , Pezinok , Vinicne , 2034 , 1375 , 1375 , 1369 , 2003 , 1185 , 1185 , 1168 , 7 , 825 , 6 , 153 , 41 , 80 , 19 , 0 , 53 , 1 , 173 , 3 , 3 , 1 , 4 , 863 , 305
Bratislavsky kraj , Pezinok , Vinosady , 1120 , 764 , 764 , 762 , 1086 , 660 , 660 , 656 , 3 , 456 , 3 , 120 , 20 , 48 , 9 , 0 , 18 , 2 , 74 , 5 , 3 , 0 , 1 , 545 , 111
Bratislavsky kraj , Pezinok , Vistuk , 1147 , 623 , 623 , 618 , 1143 , 562 , 561 , 546 , 1 , 269 , 2 , 96 , 18 , 46 , 9 , 0 , 31 , 3 , 137 , 1 , 0 , 4 , 1 , 334 , 212
Bratislavsky kraj , Senec , Bernolakovo , 6048 , 3769 , 3769 , 3754 , 6076 , 3283 , 3283 , 3239 , 42 , 2120 , 18 , 419 , 99 , 211 , 103 , 1 , 235 , 4 , 480 , 7 , 2 , 9 , 4 , 2362 , 877
Bratislavsky kraj , Senec , Blatne , 1381 , 824 , 824 , 820 , 1393 , 743 , 743 , 733 , 7 , 368 , 0 , 94 , 33 , 50 , 16 , 1 , 67 , 0 , 180 , 1 , 1 , 2 , 0 , 402 , 331
Bratislavsky kraj , Senec , Boldog , 404 , 245 , 245 , 244 , 403 , 240 , 240 , 234 , 28 , 151 , 2 , 24 , 6 , 10 , 0 , 0 , 10 , 0 , 13 , 0 , 0 , 0 , 0 , 188 , 46
Bratislavsky kraj , Senec , Cataj , 967 , 615 , 615 , 614 , 979 , 546 , 546 , 536 , 6 , 263 , 6 , 67 , 19 , 62 , 12 , 1 , 32 , 5 , 140 , 0 , 0 , 0 , 1 , 323 , 213
Bratislavsky kraj , Senec , Dunajska Luzna , 5085 , 3238 , 3237 , 3227 , 5092 , 2856 , 2853 , 2809 , 56 , 1879 , 9 , 422 , 80 , 142 , 50 , 0 , 195 , 2 , 369 , 4 , 8 , 7 , 4 , 2160 , 649
Bratislavsky kraj , Senec , Hamuliakovo , 1858 , 1063 , 1062 , 1062 , 1883 , 1009 , 1009 , 997 , 41 , 669 , 5 , 100 , 28 , 52 , 32 , 1 , 43 , 2 , 79 , 3 , 5 , 1 , 1 , 805 , 192
Bratislavsky kraj , Senec , Hruba Borsa , 808 , 533 , 533 , 531 , 839 , 506 , 505 , 493 , 9 , 343 , 2 , 52 , 6 , 27 , 12 , 0 , 14 , 0 , 60 , 0 , 4 , 1 , 1 , 386 , 107
Bratislavsky kraj , Senec , Hruby Sur , 753 , 438 , 438 , 436 , 761 , 381 , 381 , 376 , 65 , 236 , 2 , 38 , 13 , 13 , 15 , 0 , 25 , 0 , 24 , 1 , 1 , 2 , 1 , 316 , 60
Bratislavsky kraj , Senec , Hurbanova Ves , 317 , 200 , 200 , 200 , 324 , 199 , 199 , 192 , 6 , 96 , 1 , 16 , 4 , 16 , 5 , 1 , 6 , 1 , 48 , 0 , 0 , 0 , 0 , 112 , 80
Bratislavsky kraj , Senec , Chorvatsky Grob , 4552 , 3029 , 3029 , 3023 , 4540 , 2868 , 2868 , 2856 , 9 , 2025 , 13 , 235 , 69 , 140 , 50 , 1 , 126 , 4 , 334 , 4 , 3 , 6 , 4 , 2251 , 605
Bratislavsky kraj , Senec , Igram , 480 , 267 , 267 , 265 , 480 , 222 , 222 , 214 , 6 , 116 , 1 , 30 , 10 , 21 , 3 , 0 , 54 , 0 , 23 , 0 , 0 , 0 , 1 , 146 , 68
Bratislavsky kraj , Senec , Ivanka pri Dunaji , 5308 , 3416 , 3407 , 3391 , 5303 , 3040 , 3040 , 2956 , 25 , 1870 , 17 , 404 , 95 , 179 , 76 , 0 , 230 , 1 , 469 , 5 , 10 , 6 , 4 , 2119 , 837
Bratislavsky kraj , Senec , Kalinkovo , 1126 , 697 , 697 , 691 , 1118 , 644 , 644 , 630 , 27 , 412 , 3 , 56 , 14 , 48 , 22 , 0 , 18 , 1 , 85 , 0 , 0 , 1 , 4 , 477 , 153
Bratislavsky kraj , Senec , Kaplna , 703 , 399 , 399 , 393 , 709 , 365 , 365 , 359 , 0 , 158 , 4 , 50 , 12 , 34 , 8 , 0 , 52 , 1 , 72 , 0 , 0 , 0 , 2 , 215 , 144
Bratislavsky kraj , Senec , Kostolna pri Dunaji , 546 , 337 , 337 , 334 , 557 , 300 , 300 , 298 , 40 , 193 , 1 , 21 , 3 , 17 , 6 , 2 , 19 , 0 , 30 , 1 , 0 , 1 , 0 , 223 , 75
Bratislavsky kraj , Senec , Kralova pri Senci , 1612 , 1002 , 1002 , 993 , 1618 , 911 , 911 , 888 , 10 , 501 , 3 , 123 , 50 , 76 , 33 , 0 , 42 , 0 , 147 , 1 , 2 , 4 , 1 , 605 , 283
Bratislavsky kraj , Senec , Malinovo , 2736 , 1751 , 1751 , 1741 , 2735 , 1605 , 1604 , 1579 , 92 , 1156 , 8 , 127 , 35 , 55 , 46 , 2 , 57 , 2 , 147 , 3 , 1 , 4 , 6 , 1331 , 248
Bratislavsky kraj , Senec , Miloslavov , 2336 , 1634 , 1633 , 1624 , 2333 , 1527 , 1527 , 1512 , 22 , 1031 , 6 , 149 , 50 , 60 , 31 , 0 , 72 , 0 , 184 , 1 , 3 , 8 , 7 , 1180 , 332
Bratislavsky kraj , Senec , Most pri Bratislave , 2644 , 1648 , 1648 , 1642 , 2639 , 1413 , 1413 , 1394 , 16 , 904 , 8 , 231 , 40 , 95 , 41 , 0 , 61 , 2 , 216 , 7 , 7 , 7 , 7 , 1007 , 387
